Cluster Index	Voxels	MAX	MAX X (vox)	MAX Y (vox)	MAX Z (vox)	COG X (vox)	COG Y (vox)	COG Z (vox)
16	786	15	67	44	24	61.8	46.7	28.9
15	626	3	14	40	28	12.5	42.1	36
14	429	16	62	40	33	61	40.9	36.9
13	400	8	18	63	22	21.2	60.5	27.4
12	346	10	61	57	23	61.6	57.4	29.9
11	290	19	23	68	29	20.5	68.1	32.4
10	286	18	24	71	35	24.4	71.2	37.7
9	274	17	22	52	41	19.6	54.5	44.7
8	191	29	19	67	23	18.7	69	25.8
7	173	20	16	50	26	15.2	51	29
6	165	7	13	44	27	12.5	45.4	30.4
5	150	63	57	66	21	58.3	68.4	26
4	139	34	46	26	6	43.8	24.2	9.5
3	136	37	58	74	28	56.1	72.5	32.8
2	120	44	46	69	21	47.8	72.4	23.6
1	120	21	67	39	30	66	41.7	34.1
