parcel_numbers,is_significant,count_in_parcel,nvoxels_in_parcel,peak_labels,max_intersect_labels
1,1,22,1179,Right_Middle_Temporal_Gyrus_anterior_division,unidentified
2,1,22,2671,Right_Temporal_Pole,unidentified
3,1,22,981,unidentified,unidentified
4,1,21,1270,unidentified,unidentified
5,1,21,343,unidentified,unidentified
6,1,20,688,unidentified,unidentified
7,1,22,803,Left_Parahippocampal_Gyrus_anterior_division,unidentified
8,1,19,152,unidentified,unidentified
9,0,15,202,unidentified,unidentified
10,1,18,820,unidentified,unidentified
11,1,21,600,Left_Inferior_Temporal_Gyrus_posterior_division,unidentified
12,0,16,164,unidentified,unidentified
13,0,14,170,Left_Temporal_Fusiform_Cortex_anterior_division,unidentified
14,0,17,94,Right_Lateral_Occipital_Cortex_inferior_division,unidentified
15,0,16,580,unidentified,unidentified
16,0,15,217,unidentified,unidentified
17,0,17,414,unidentified,unidentified
18,0,10,156,unidentified,unidentified
19,0,13,169,unidentified,unidentified
20,0,11,141,unidentified,unidentified
21,0,11,109,unidentified,unidentified
22,0,14,201,unidentified,unidentified
23,0,14,79,unidentified,unidentified
24,0,11,72,Left_Inferior_Temporal_Gyrus_temporooccipital_part,unidentified
25,0,14,139,unidentified,unidentified
26,0,9,77,Right_Frontal_Pole,unidentified
27,0,7,109,unidentified,unidentified
28,0,11,204,unidentified,unidentified
29,0,9,85,unidentified,unidentified
30,0,5,60,unidentified,unidentified
31,0,8,103,unidentified,unidentified
32,0,7,16,unidentified,unidentified
33,0,8,24,unidentified,unidentified
34,0,8,45,unidentified,unidentified
35,0,7,13,unidentified,unidentified
36,0,10,103,unidentified,unidentified
37,0,7,35,Right_Frontal_Orbital_Cortex,unidentified
38,0,8,27,unidentified,unidentified
39,0,9,36,unidentified,unidentified
40,0,7,83,Left_Frontal_Pole,unidentified
41,0,6,35,Right_Insular_Cortex,unidentified
42,0,9,44,unidentified,unidentified
43,0,10,51,unidentified,unidentified
44,0,4,18,Right_Middle_Temporal_Gyrus_posterior_division,unidentified
45,0,7,13,unidentified,unidentified
46,0,3,26,unidentified,unidentified
47,0,5,53,Right_Lateral_Occipital_Cortex_inferior_division,unidentified
48,0,5,6,Left_Temporal_Fusiform_Cortex_anterior_division,Left_Temporal_Fusiform_Cortex_anterior_division
49,0,4,8,unidentified,unidentified
50,0,5,11,Right_Parahippocampal_Gyrus_anterior_division,unidentified
51,0,5,7,unidentified,unidentified
52,0,4,11,unidentified,unidentified
53,0,4,11,Right_Subcallosal_Cortex,Right_Cerebral_Cortex
54,0,5,13,Right_Frontal_Pole,unidentified
55,0,4,26,unidentified,Left_Cerebral_Cortex
56,0,5,3,unidentified,Right_Cerebral_Cortex
57,0,6,13,unidentified,unidentified
58,0,6,5,Right_Middle_Temporal_Gyrus_posterior_division,unidentified
59,0,5,10,unidentified,unidentified
60,0,4,26,unidentified,unidentified
61,0,6,13,unidentified,unidentified
62,0,6,6,unidentified,unidentified
63,0,4,4,unidentified,unidentified
64,0,3,4,unidentified,Left_Temporal_Pole
65,0,3,2,unidentified,unidentified
66,0,4,1,unidentified,unidentified
67,0,3,1,Left_Intracalcarine_Cortex,Left_Intracalcarine_Cortex
