parcel_numbers,is_significant,count_in_parcel,nvoxels_in_parcel,peak_labels,max_intersect_labels
1,1,22,702,unidentified,unidentified
2,1,22,1262,unidentified,unidentified
3,1,22,180,unidentified,unidentified
4,1,22,664,unidentified,unidentified
5,1,21,770,unidentified,unidentified
6,1,21,220,unidentified,unidentified
7,1,22,664,unidentified,unidentified
8,1,22,410,unidentified,unidentified
9,0,17,129,Right_Inferior_Temporal_Gyrus_posterior_division,unidentified
10,1,22,463,unidentified,unidentified
11,1,21,381,unidentified,unidentified
12,0,17,109,unidentified,unidentified
13,1,18,113,unidentified,unidentified
14,1,18,76,unidentified,unidentified
15,1,18,367,unidentified,unidentified
16,0,16,125,unidentified,unidentified
17,1,18,276,unidentified,unidentified
18,0,12,38,unidentified,unidentified
19,0,14,117,unidentified,unidentified
20,0,14,98,unidentified,unidentified
21,0,16,102,unidentified,unidentified
22,0,16,106,unidentified,unidentified
23,0,13,75,unidentified,unidentified
24,0,15,81,unidentified,unidentified
25,0,17,71,unidentified,unidentified
26,0,16,116,unidentified,unidentified
27,0,14,155,unidentified,unidentified
28,0,14,36,Right_Frontal_Pole,unidentified
29,0,8,23,unidentified,unidentified
30,0,9,71,unidentified,unidentified
31,0,9,75,Right_Temporal_Pole,unidentified
32,0,9,18,unidentified,unidentified
33,0,10,60,unidentified,unidentified
34,0,10,35,unidentified,unidentified
35,0,10,79,unidentified,unidentified
36,0,9,34,unidentified,unidentified
37,0,8,36,unidentified,unidentified
38,0,8,53,Right_Parahippocampal_Gyrus_anterior_division,unidentified
39,0,10,33,unidentified,unidentified
40,0,7,33,unidentified,unidentified
41,0,10,78,unidentified,unidentified
42,0,14,61,unidentified,unidentified
43,0,8,10,unidentified,unidentified
44,0,8,30,unidentified,unidentified
45,0,6,28,unidentified,unidentified
46,0,10,28,unidentified,unidentified
47,0,7,8,unidentified,unidentified
48,0,6,19,unidentified,unidentified
49,0,8,23,unidentified,unidentified
50,0,8,27,unidentified,unidentified
51,0,6,24,unidentified,unidentified
52,0,8,14,unidentified,unidentified
53,0,7,8,unidentified,unidentified
54,0,8,16,unidentified,unidentified
55,0,7,39,unidentified,unidentified
56,0,4,16,unidentified,unidentified
57,0,6,14,unidentified,unidentified
58,0,6,10,unidentified,unidentified
59,0,4,4,unidentified,unidentified
60,0,10,7,unidentified,unidentified
61,0,8,7,unidentified,unidentified
62,0,10,9,unidentified,unidentified
63,0,9,32,unidentified,unidentified
64,0,4,12,unidentified,unidentified
65,0,6,16,unidentified,unidentified
66,0,5,21,unidentified,unidentified
67,0,5,21,unidentified,unidentified
68,0,7,9,unidentified,unidentified
69,0,7,10,unidentified,unidentified
70,0,5,3,unidentified,unidentified
71,0,4,6,unidentified,unidentified
72,0,5,2,unidentified,unidentified
73,0,6,9,unidentified,unidentified
74,0,5,4,Right_Occipital_Pole,unidentified
75,0,5,6,Left_Inferior_Temporal_Gyrus_posterior_division,unidentified
76,0,5,5,unidentified,unidentified
77,0,4,8,unidentified,unidentified
78,0,5,3,unidentified,unidentified
79,0,3,3,unidentified,unidentified
80,0,4,3,unidentified,unidentified
81,0,3,2,Right_Parahippocampal_Gyrus_anterior_division,unidentified
82,0,3,4,unidentified,unidentified
83,0,3,1,unidentified,Brain-Stem
84,0,4,1,unidentified,unidentified
85,0,3,1,unidentified,unidentified
86,0,3,1,unidentified,unidentified
87,0,3,1,unidentified,Brain-Stem
